season,date,home_away,opponent,result,goals_for,goals_against,attendance,shots,shots_on_goal,yellow,red,opp_shots,opp_shots_on_goal
2025,8/21/2025,Away,UNCW,W,2,1,1098,4,3,3,0,20,5
,8/25/2025,Home,Saint Peter's,W,1,0,3281,13,5,1,0,6,3
,8/29/2025,Home,Niagara,W,3,1,1185,11,4,3,0,12,8
,9/1/2025,Home,Howard,W,1,0,1176,22,9,1,0,4,2
,9/6/2025,Away,William & Mary,T,1,1,210,12,5,1,0,7,3
,9/12/2025,Home,Old Dominion,L,0,1,1159,6,2,1,0,12,5
,9/16/2025,Away,Navy,L,0,1,223,11,6,2,0,7,3
,9/20/2025,Home,George Mason,L,0,1,1371,16,8,1,0,8,4
,9/27/2025,Away,Vermont,L,0,2,2858,7,4,1,0,16,8
,10/4/2025,Home,Bryant,L,1,2,1140,14,3,1,0,13,5
,10/11/2025,Home,New Hampshire,T,1,1,1239,13,6,0,0,10,3
,10/17/2025,Away,Ualbany,L,0,2,235,6,3,2,0,9,4
,10/21/2025,Away,George Washington,T,3,3,147,12,6,1,0,11,4
,10/25/2025,Away,Umass Lowell,W,2,0,193,8,2,1,0,8,2
,10/31/2025,Home,Binghamton,W,4,0,825,14,6,0,0,7,0
,11/4/2025,Away,NJIT,T,1,1,417,13,7,5,0,18,5
,11/8/2025,Away,New Hampshire,T,0,0,373,5,1,1,0,17,7
