season,date,home_away,opponent,result,goals_for,goals_against,attendance,shots,shots_on_goal,yellow,red,opp_shots,opp_shots_on_goal
2023,8/24/2023,Home,George Mason,W,4,3,824,14,7,4,0,9,4
,8/28/2023,Home,Old Dominion,T,1,1,2891,17,7,3,0,10,4
,9/1/2023,Home,Liberty,W,3,0,972,9,5,0,0,15,4
,9/3/2023,Home,Howard,W,2,0,1021,18,12,0,0,6,2
,9/12/2023,Away,Hofstra,L,0,2,303,6,3,2,1,12,5
,9/16/2023,Home,Cornell,W,2,1,1095,6,4,4,1,18,8
,9/19/2023,Home,American,L,1,3,981,18,4,0,0,10,6
,9/23/2023,Away,Ualbany,W,2,1,609,9,3,0,0,8,5
,9/30/2023,Home,Bryant,T,0,0,1291,6,1,1,0,11,3
,10/3/2023,Home,Navy,T,4,4,1326,21,14,1,0,10,5
,10/7/2023,Away,Umass Lowell,W,2,1,236,18,9,3,0,3,2
,10/14/2023,Home,New Hampshire,L,1,4,1421,14,5,0,0,19,11
,10/21/2023,Away,Vermont,W,2,1,483,7,4,3,0,13,6
,10/27/2023,Away,NJIT,T,0,0,383,19,3,3,0,6,4
,10/31/2023,Home,Binghamton,T,2,2,847,20,7,2,0,7,3
,11/4/2023,Home,Binghampton,L,0,1,1427,12,4,2,0,13,8
